,mutants,caught_mutants,mutation_score
NULL_RETURNS,438,287,0.6552511415525114
NON_VOID_METHOD_CALLS,340,334,0.9823529411764705
UOI,110,107,0.9727272727272728
CONSTRUCTOR_CALLS,126,125,0.9920634920634921
FALSE_RETURNS,21,18,0.8571428571428571
PRIMITIVE_RETURNS,37,28,0.7567567567567568
NEGATE_CONDITIONALS,177,155,0.8757062146892656
CONDITIONALS_BOUNDARY,72,52,0.7222222222222222
REMOVE_CONDITIONALS,179,177,0.9888268156424581
AOD,45,35,0.7777777777777778
AOR,37,26,0.7027027027027027
MATH,50,43,0.86
INLINE_CONSTS,119,80,0.6722689075630253
ROR,82,62,0.7560975609756098
TRUE_RETURNS,18,12,0.6666666666666666
INCREMENTS,29,25,0.8620689655172413
REMOVE_INCREMENTS,22,8,0.36363636363636365
